Date,Open,High,Low,Close,Ticks,Volume,Spread
2011.06.01,0.46,0.51,0.46,0.47,24696,296025600,1
2011.07.01,0.47,0.49,0.39,0.4,28657,319744000,1
2011.08.01,0.4,0.41,0.3,0.37,30612,338684800,1
2011.09.01,0.4,0.44,0.33,0.34,37541,424694400,1
2011.10.01,0.34,0.39,0.32,0.38,31193,365411200,1
2011.11.01,0.37,0.39,0.28,0.31,38291,517097600,1
2011.12.01,0.33,0.35,0.26,0.28,37858,488710400,1
2012.01.01,0.27,0.3,0.26,0.29,34382,449350400,1
2012.02.01,0.29,0.35,0.28,0.34,39227,819449600,1
2012.03.01,0.34,0.37,0.32,0.35,30726,552336000,1
2012.04.01,0.35,0.37,0.31,0.33,22052,284246400,1
2012.05.01,0.33,0.36,0.25,0.27,32796,430355200,1
2012.06.01,0.26,0.3,0.25,0.27,14760,204169600,1
2012.07.01,0.27,0.3,0.26,0.3,17208,177980800,1
2012.08.01,0.3,0.34,0.29,0.33,24895,317609600,1
2012.09.01,0.33,0.38,0.32,0.35,23831,305724800,1
2012.10.01,0.35,0.38,0.32,0.33,29850,237920000,1
2012.11.01,0.33,0.34,0.3,0.33,26560,226544000,1
2012.12.01,0.33,0.36,0.32,0.35,28386,252745600,1
2013.01.01,0.35,0.4,0.33,0.35,47515,528473600,1
2013.02.01,0.35,0.37,0.29,0.29,38472,503443200,1
2013.03.01,0.29,0.29,0.25,0.26,42674,397974400,1
2013.04.01,0.26,0.27,0.2,0.21,46177,477660800,1
2013.05.01,0.21,0.27,0.2,0.24,55882,562505600,1
2013.06.01,0.24,0.25,0.16,0.16,56849,738316800,1
2013.07.01,0.16,0.18,0.13,0.15,58049,881001600,1
2013.08.01,0.15,0.2,0.14,0.17,67207,1046019200,1
2013.09.01,0.17,0.23,0.17,0.22,47432,579856000,1
2013.10.01,0.22,0.28,0.21,0.27,59194,577718400,1
2013.11.01,0.28,0.3,0.24,0.24,56060,503779200,1
2013.12.01,0.24,0.25,0.21,0.22,54941,549606400,1
2014.01.01,0.22,0.26,0.2,0.23,59436,539312000,1
2014.02.01,0.23,0.24,0.2,0.21,68805,695324800,1
2014.03.01,0.21,0.21,0.17,0.19,46529,730438400,1
2014.04.01,0.19,0.23,0.19,0.23,41668,467168000,1
2014.05.01,0.23,0.27,0.23,0.24,55823,771651200,1
2014.06.01,0.24,0.28,0.23,0.27,65621,729491200,1
2014.07.01,0.27,0.29,0.25,0.27,48204,576134400,1
2014.08.01,0.27,0.27,0.25,0.27,47302,436166400,1
2014.09.01,0.27,0.28,0.21,0.22,59966,604441600,1
2014.10.01,0.22,0.26,0.19,0.24,61004,547328000,1
2014.11.01,0.25,0.26,0.23,0.24,50152,371209600,1
2014.12.01,0.24,0.24,0.21,0.23,33505,237043200,1
2015.01.01,0.23,0.23,0.19,0.2,39482,238358400,1
2015.02.01,0.2,0.21,0.17,0.18,46328,368352000,1
2015.03.01,0.18,0.19,0.15,0.15,56820,519027200,1
2015.04.01,0.15,0.17,0.15,0.15,39668,422473600,1
2015.05.01,0.15,0.17,0.13,0.13,33366,469945600,1
2015.06.01,0.13,0.13,0.11,0.11,28539,317040000,1
2015.07.01,0.11,0.12,0.07,0.11,63020,1118361600,1
2015.08.01,0.11,0.11,0.08,0.08,30581,519897600,1
2015.09.01,0.08,0.08,0.05,0.06,28106,481465600,1
2015.10.01,0.05,0.06,0.04,0.05,30086,1494656000,1
2015.11.01,0.05,0.05,0.03,0.03,33020,1299609600,1
2015.12.01,0.03,0.07,0.03,0.07,37855,2797824000,1
2016.01.01,0.06,0.07,0.05,0.05,15192,1044889600,1
2016.02.01,0.05,0.08,0.05,0.08,11730,695321600,1
2016.03.01,0.08,0.12,0.07,0.11,21971,1151385600,1
2016.04.01,0.11,0.13,0.1,0.12,13968,814233600,1
2016.05.01,0.12,0.14,0.11,0.13,11394,657971200,1
2016.06.01,0.13,0.15,0.13,0.15,19397,1083392000,1
2016.07.01,0.15,0.18,0.15,0.18,14226,724275200,1
2016.08.01,0.18,0.24,0.16,0.23,26255,1253427200,1
2016.09.01,0.23,0.29,0.23,0.29,20220,811315200,1
2016.10.01,0.29,0.38,0.26,0.35,22284,957030400,1
2016.11.01,0.35,0.4,0.34,0.4,14572,533708800,1
2016.12.01,0.39,0.41,0.37,0.41,11728,401459200,1
2017.01.01,0.4,0.5,0.36,0.49,13436,503628800,1
2017.02.01,0.49,0.83,0.46,0.8,13588,534604800,1
2017.03.01,0.81,0.83,0.63,0.68,17238,601190400,1
2017.04.01,0.68,0.91,0.65,0.86,11024,390169600,1
2017.05.01,0.88,1.08,0.85,0.96,18184,615936000,1
2017.06.01,0.97,1.01,0.87,0.98,16253,526515200,1
2017.07.01,0.98,1.47,0.98,1.41,24022,785254400,1
2017.08.01,1.48,2.19,1.39,2.18,38204,1246182400,1
2017.09.01,2.22,2.68,1.95,2.28,210331,1769280000,1
2017.10.01,2.33,2.48,1.85,1.96,212366,1615257600,1
2017.11.01,2.12,2.14,1.46,1.75,204582,1756099200,1
2017.12.01,1.75,2.48,1.7,2.48,143959,1237587200,1
2018.01.01,2.5,2.67,2.3,2.61,95182,720908800,1
2018.02.01,2.6,2.93,2.23,2.81,120041,1005078400,1
2018.03.01,2.81,3.14,2.66,3.02,141108,1007657600,1
2018.04.01,3.04,3.34,2.84,3.3,114057,857040000,1
2018.05.01,3.31,3.55,2.96,3.36,194922,1693808000,1
2018.06.01,3.43,4.01,2.95,3.96,194281,1538278400,1
2018.07.01,3.94,4.19,3.51,4.09,118160,892918400,1
2018.08.01,4.09,4.6,3.92,4.03,147184,1072633600,1
2018.09.01,3.99,3.99,3.54,3.79,116217,810505600,1
2018.10.01,3.82,5.39,3.75,5.23,175227,1145334400,1
2018.11.01,5.26,5.37,4.43,5.1,155310,1055667200,1
2018.12.01,5.2,5.66,4.97,5.61,81737,512348800,1
2019.01.01,5.6,5.77,4.99,5.56,119733,692409600,1
2019.02.01,5.56,5.62,4.91,5.39,124309,683670400,1
2019.03.01,5.43,5.71,5.13,5.37,97356,598844800,1
2019.04.01,5.4,5.95,4.93,5.95,100784,665715200,1
2019.05.01,5.87,6.3,5.14,6.1,135096,820764800,1
2019.06.01,6.13,6.72,5.85,6.57,100639,689280000,1
2019.07.01,6.6,8.45,6.5,8.21,150239,873939200,1
2019.08.01,8.39,9.62,8.21,9.03,607384,1053968400,1
2019.09.01,9.09,9.41,7.87,9.22,541416,789603200,1
2019.10.01,9.25,11.13,8.97,11.13,650416,987733600,1
2019.11.01,11.21,12.17,10.4,11.23,779467,1220560400,1
2019.12.01,11.33,12.44,10.97,11.89,510910,722949200,1
2020.01.01,12.05,14.49,11.9,13.92,568705,749442000,1
2020.02.01,14.09,14.95,11.78,12.6,686791,818698400,1
2020.03.01,12.65,13.67,6.24,9.73,1435553,1983666000,1
2020.04.01,9.33,13.2,8.32,12.4,1060060,1298802800,1
2020.05.01,11.98,17.0,11.8,16.06,979483,1138091600,1
2020.06.01,15.97,18.19,14.6,17.88,1038675,1202028800,1
2020.07.01,17.96,22.33,17.29,20.16,952031,1009355600,1
2020.08.01,20.28,23.62,19.78,23.28,1007675,1033619200,1
2020.09.01,23.53,24.08,20.85,22.28,1075525,1087178800,1
2020.10.01,22.31,27.23,21.88,24.61,1490229,911138600,1
2020.11.01,25.26,28.28,22.88,23.36,1908541,903936800,1
2020.12.01,23.63,25.66,22.58,24.95,1289485,651215900,1
2021.01.01,25.26,27.07,22.95,25.27,1247104,662472300,1
2021.02.01,25.68,26.45,23.66,24.18,1030152,556656700,1
2021.03.01,24.56,25.7,20.92,21.04,1237423,800627300,0
